_id.dl_date,_id.dl_pt,_id.dl_cl,dl_count
54,"COD","Khwaish",16.0
54,"COD","Kunchals Stores",1.0
54,"COD","LAVIDA LUXE LIFESTYLE SOLUTIONS PVT. LTD.",54.0
54,"COD","Latin Quarters",3.0
54,"COD","LimeRoad",816.0
54,"COD","Loveforprettythings",3.0
54,"COD","MOBIWEB",1.0
54,"COD","MPP - STYLEMAKE",1.0
54,"COD","MR.SHOES",3.0
54,"COD","MUGHAL CLINIC",1.0
54,"COD","Mirraw COD",529.0
54,"COD","Mulyashop",15.0
54,"COD","My nutra mart",26.0
54,"COD","MyBabyCart",8.0
54,"COD","Myfitfuel",5.0
54,"COD","Myhomesol",3.0
54,"COD","Myntra",1605.0
54,"COD","NISHKA",1.0
54,"COD","Naaptol",140.0
54,"COD","NatturaBiocare",1.0
54,"COD","NaturalMantra",48.0
54,"COD","Netakart",50.0
54,"COD","Nikulsan",1.0
54,"COD","Nlytn",1.0
54,"COD","NoFat",34.0
54,"COD","Nykaa",193.0
54,"COD","OKS",4.0
54,"COD","OMGGOLD",6.0
54,"COD","OSR Ayurveda Founder (INDIA)",2.0
54,"COD","Oumya Jewels",1.0
54,"COD","Palred",161.0
54,"COD","Paper Boat",3.0
54,"COD","Pavitra Retail Pvt Ltd",5.0
54,"COD","Pearson",5.0
54,"COD","Pelicans&Penguins",12.0
54,"COD","PentaRetailIndia",2.0
54,"COD","PeppyTrends",1.0
54,"COD","PhotoSquare",4.0
54,"COD","Postergully",2.0
54,"COD","Prism",32.0
54,"COD","PureMart",2.0
54,"COD","Purplle",71.0
54,"COD","Quick Service",112.0
54,"COD","REVASTO INDIA PRIVATE",1.0
54,"COD","ROADGODS AUTOGEAR",3.0
54,"COD","Rediff",358.0
54,"COD","Rubicon e Retail Pvt. Ltd.",2.0
54,"COD","SGP Design",1.0
54,"COD","SHIVA INTERNATIONAL APPARELS",1.0
54,"COD","SHIVAMTIME",3.0
54,"COD","SHOPELING",1.0
