_id.dl_date,_id.dl_oc,_id.dl_occ,dl_count
33,"RS.Davanagere (Karnataka)","Davangere",21.0
33,"Raipur_DC (Chhattisgarh)","Raipur",13.0
33,"Raipur_Sunder Nagar_DC (Chhattisgarh)","Raipur",34.0
33,"Rajamundry_DC (Andhra Pradesh)","Rajamundry",4.0
33,"Rajkot (Gujarat)","Rajkot",602.0
33,"Rampur (Uttar Pradesh)","Rampur",9.0
33,"Ranchi_1 (Jharkhand)","Ranchi",20.0
33,"Rohtak (Haryana)","Rohtak",133.0
33,"Rudrapur (Uttarakhand)","Rudrapur",25.0
33,"Salem (Tamil Nadu)","Salem",44.0
33,"Sangli_Dc (Maharashtra)","Sangli",57.0
33,"Silvassa_DC (Gujarat)","Silvassa",10.0
33,"Solapur_DC (Maharashtra)","Solapur",148.0
33,"Sonipat (Haryana)","Sonipat",245.0
33,"StarCJ_BLR (Karnataka)","Bangalore",259.0
33,"Surat_Magob_Dc (Gujarat)","Surat",4406.0
33,"Surat_Pc (Gujarat)","Surat",1313.0
33,"Thanjavur_DC (Tamil Nadu)","Tiruchi",1.0
33,"Tiruchi (Tamil Nadu)","Tiruchi",8.0
33,"Tirupati (Andhra Pradesh)","Tirupati",4.0
33,"Tirupur (Tamil Nadu)","Tirupur",637.0
33,"Udaipur_DC (Rajasthan)","Udaipur",116.0
33,"Udupi (Karnataka)","Mangalore",1.0
33,"Vadodara (Gujarat)","Vadodara",502.0
33,"Valsad_DC (Gujarat)","Vapi",10.0
33,"Vapi (Gujarat)","Vapi",138.0
33,"Varanasi (Uttar Pradesh)","Varanasi",1.0
33,"Vellore_DC (Tamil Nadu)","Vellore",12.0
33,"Vijayawada (Andhra Pradesh)","Vijayawada",8.0
33,"Vishakhapatnam (Andhra Pradesh)","Vishakhapatnam",34.0
33,"Vizag _NAD (Andhra Pradesh)","Vishakhapatnam",4.0
33,"Vizag_Gajuwaka (Andhra Pradesh)","Vishakhapatnam",2.0
33,"cuttack (Orissa)","Cuttack",38.0
33,"jammu_Central (Jammu & Kashmir)","Jammu",20.0
33,"jamshedpur (Jharkhand)","Jamshedpur",6.0
33,"srinagar_south (Jammu & Kashmir)","Srinagar",3.0
34,,,343.0
34,"AMD_PC (Gujarat)","Ahmedabad",1289.0
34,"Agra (Uttar Pradesh)","Agra",312.0
34,"Airport (Tamil Nadu)","Chennai",3.0
34,"Ajmer_DC (Rajasthan)","Ajmer",18.0
34,"Aligarh (Uttar Pradesh)","Aligarh",42.0
34,"Allahabad (Uttar Pradesh)","Allahabad",23.0
34,"Ambala (Haryana)","Ambala",135.0
34,"Amd_Chandkheda_Dc (Gujarat)","Ahmedabad",1.0
34,"Amritsar_DC (Punjab)","Amritsar",319.0
34,"Anand_Dc (Gujarat)","Anand",22.0
34,"Aurangabad (Maharashtra)","Aurangabad",12.0
34,"Ayanambakkam (Tamil Nadu)","Chennai",24.0
34,"BLR_HSR_Layout_PC (Karnataka)","Bangalore",182.0
34,"BLR_HegdeNagar_PC (Karnataka)","Bangalore",6660.0
34,"BLR_JPNagar_Pc (Karnataka)","Bangalore",6.0
34,"BLR_RPC (Karnataka)","Bangalore",1.0
34,"BLR_Tippasandra_DPC (Karnataka)","Bangalore",35.0
34,"Bareilly (Uttar Pradesh)","Bareilly",19.0
34,"Begumpet HYD (Andhra Pradesh)","Hyderabad",44.0
34,"Belgaum_Dc (Karnataka)","Belgaum",138.0
34,"Bengaluru_Banaswadi_Dc (Karnataka)","Bangalore",14.0
34,"Bengaluru_Bellandur (Karnataka)","Bangalore",8.0
34,"Bengaluru_Marathalli_Dc (Karnataka)","Bangalore",16.0
34,"Bengaluru_Mathikere_Dc (Karnataka)","Bangalore",11.0
34,"Bengaluru_Nandinilayout_Dc (Karnataka)","Bangalore",38.0
34,"Bengaluru_RTNagar_Dc (Karnataka)","Bangalore",8.0
34,"Bengaluru_Rajajinagar_Dc (Karnataka)","Bangalore",19.0
34,"Bengaluru_Vijayanagar_Dc (Karnataka)","Bangalore",23.0
34,"Bengaluru_West (Karnataka)","Bangalore",2.0
34,"Bengaluru_Whitefield_Dc (Karnataka)","Bangalore",2.0
34,"Bengaluru_Yelahanka_Dc (Karnataka)","Bangalore",17.0
34,"Bhatinda (Punjab)","Bhatinda",53.0
34,"Bhavnagar_Dc (Gujarat)","Bhavnagar",11.0
34,"Bhiwandi_Pc (Maharashtra)","Mumbai",5264.0
34,"Bhopal_Hub (Madhya Pradesh)","Bhopal",37.0
34,"Bhopal_Kartar Arcade (Madhya Pradesh)","Bhopal",5.0
34,"Bhubaneshwar_1 (Orissa)","Bhubaneshwar",16.0
34,"Bhubaneshwar_Nayapalli (Orissa)","Bhubaneshwar",1.0
34,"Bidar (Karnataka)","Gulbarga",5.0
34,"Bikaner_DC (Rajasthan)","Bikaner",4.0
34,"Blr_Domlur (Karnataka)","Bangalore",741.0
34,"Blr_Ganabharathi (Karnataka)","Bangalore",45.0
